2010,1,2
2010,2,1
2010,3,5
2010,5,4
2010,6,1
2010,7,5
2010,8,3
2010,9,5
2010,10,2
2010,11,6
2010,12,3
2011,1,7
2011,2,2
2011,3,4
2011,4,15
2011,5,6
2011,6,4
2011,7,12
2011,8,7
2011,9,3
2011,10,1
2011,11,2
2011,12,5
2012,1,7
2012,2,6
2012,3,8
2012,4,4
2012,5,8
2012,6,4
2012,7,6
2012,8,6
2012,9,5
2012,10,12
2012,11,11
2012,12,10
2013,1,10
2013,2,7
2013,3,13
2013,4,13
2013,5,7
2013,6,10
2013,7,12
2013,8,7
2013,9,7
2013,10,13
2013,11,6
2013,12,8
2014,1,15
2014,2,12
2014,3,14
2014,4,15
2014,5,16
2014,6,15
2014,7,19
2014,8,12
2014,9,17
2014,10,6
2014,11,17
2014,12,13
2015,1,20
2015,2,12
2015,3,15
2015,4,19
2015,5,11
2015,6,11
2015,7,23
2015,8,16
2015,9,15
2015,10,33
2015,11,30
2015,12,17
2016,1,13
2016,2,9
2016,3,11
2016,4,27
2016,5,17
2016,6,17
2016,7,30
2016,8,26
2016,9,30
2016,10,46
2016,11,19
2016,12,17
2017,1,13
2017,2,21
2017,3,35
2017,4,16
2017,5,17
2017,6,30
2017,7,16
2017,8,16
2017,9,18
2017,10,30
2017,11,19
2017,12,21
2018,1,19
2018,2,16
2018,3,4
